LLM,Attack,Aggressive,FNR,FPR
gpt-4o-mini,naive,No,0.16455696202531644,0.8264462809917356
gpt-4o-mini,naive,No,0.19642857142857142,0.8055555555555556
gpt-4o-mini,fake completion,No,0.203125,0.6911764705882353
gpt-4o-mini,combined attack,No,0.2236842105263158,0.7903225806451613
gpt-4o-mini,context ignoring,No,0.3333333333333333,0.868421052631579
gpt-4o-mini,escape characters,No,0.12222222222222222,0.9090909090909091
gpt-4o-mini,combined attack,No,0.0821917808219178,0.7874015748031497
gpt-4o-mini,escape characters,No,0.16883116883116883,0.959349593495935
gpt-4o-mini,context ignoring,No,0.04838709677419355,0.8260869565217391
gpt-4o-mini,fake completion,No,0.2222222222222222,0.7054794520547946
llama3:70b,fake completion,No,0.2222222222222222,0.7054794520547946
llama3:70b,combined attack,No,0.0821917808219178,0.7874015748031497
llama3:70b,context ignoring,No,0.32653061224489793,0.8741721854304636
llama3:70b,escape characters,No,0.12222222222222222,0.9090909090909091
llama3:70b,escape characters,No,0.17105263157894737,0.9596774193548387
llama3:70b,context ignoring,No,0.04838709677419355,0.8260869565217391
llama3:70b,fake completion,No,0.203125,0.6911764705882353
llama3:70b,combined attack,No,0.2236842105263158,0.7903225806451613
llama3:70b,naive,No,0.16455696202531644,0.8264462809917356
llama3:70b,naive,No,0.2,0.8
qwen2:7b,combined attack,No,0.08,0.784
qwen2:7b,escape characters,No,0.17333333333333334,0.96
qwen2:7b,naive,No,0.16455696202531644,0.8264462809917356
qwen2:7b,combined attack,No,0.2236842105263158,0.7903225806451613
qwen2:7b,naive,No,0.2,0.8
qwen2:7b,escape characters,No,0.12222222222222222,0.9090909090909091
qwen2:7b,fake completion,No,0.203125,0.6911764705882353
qwen2:7b,context ignoring,No,0.04838709677419355,0.8260869565217391
qwen2:7b,fake completion,No,0.2222222222222222,0.7054794520547946
qwen2:7b,context ignoring,No,0.32653061224489793,0.8741721854304636
llama3:8b,escape characters,No,0.12222222222222222,0.9090909090909091
llama3:8b,naive,No,0.16455696202531644,0.8264462809917356
llama3:8b,context ignoring,No,0.04838709677419355,0.8260869565217391
llama3:8b,escape characters,No,0.17105263157894737,0.9596774193548387
llama3:8b,combined attack,No,0.22077922077922077,0.7886178861788617
llama3:8b,combined attack,No,0.08108108108108109,0.7857142857142857
llama3:8b,context ignoring,No,0.32653061224489793,0.8741721854304636
llama3:8b,fake completion,No,0.2,0.6888888888888889
llama3:8b,naive,No,0.2,0.8
llama3:8b,fake completion,No,0.2222222222222222,0.7054794520547946
gpt-3.5-turbo,fake completion,No,0.2222222222222222,0.7054794520547946
gpt-3.5-turbo,escape characters,No,0.17105263157894737,0.9596774193548387
gpt-3.5-turbo,naive,No,0.16455696202531644,0.8264462809917356
gpt-3.5-turbo,naive,No,0.19298245614035087,0.8041958041958042
gpt-3.5-turbo,combined attack,No,0.0821917808219178,0.7874015748031497
gpt-3.5-turbo,combined attack,No,0.22077922077922077,0.7886178861788617
gpt-3.5-turbo,escape characters,No,0.12222222222222222,0.9090909090909091
gpt-3.5-turbo,context ignoring,No,0.3333333333333333,0.868421052631579
gpt-3.5-turbo,fake completion,No,0.203125,0.6911764705882353
gpt-3.5-turbo,context ignoring,No,0.04838709677419355,0.8260869565217391
llama3.1:70b,combined attack,No,0.2236842105263158,0.7903225806451613
llama3.1:70b,escape characters,No,0.17105263157894737,0.9596774193548387
llama3.1:70b,combined attack,No,0.08108108108108109,0.7857142857142857
llama3.1:70b,escape characters,No,0.12222222222222222,0.9090909090909091
llama3.1:70b,context ignoring,No,0.04838709677419355,0.8260869565217391
llama3.1:70b,naive,No,0.2,0.8
llama3.1:70b,fake completion,No,0.203125,0.6911764705882353
llama3.1:70b,fake completion,No,0.2222222222222222,0.7054794520547946
llama3.1:70b,context ignoring,No,0.32653061224489793,0.8741721854304636
llama3.1:70b,naive,No,0.16666666666666666,0.8278688524590164
qwen2:72b,combined attack,No,0.2236842105263158,0.7903225806451613
qwen2:72b,escape characters,No,0.12359550561797752,0.9099099099099099
qwen2:72b,escape characters,No,0.17333333333333334,0.96
qwen2:72b,combined attack,No,0.08108108108108109,0.7857142857142857
qwen2:72b,fake completion,No,0.2222222222222222,0.7054794520547946
qwen2:72b,context ignoring,No,0.3333333333333333,0.868421052631579
qwen2:72b,naive,No,0.16455696202531644,0.8264462809917356
qwen2:72b,naive,No,0.19642857142857142,0.8055555555555556
qwen2:72b,fake completion,No,0.203125,0.6911764705882353
qwen2:72b,context ignoring,No,0.04838709677419355,0.8260869565217391
